Date,output,output_potential,output_gap
2020-07-01,97.77557,99.42262461207406,-1.647054612074058
2020-08-01,100.6379,99.42127256858207,1.2166274314179333
2020-09-01,103.35202,99.42384386124422,3.9281761387557736
2020-10-01,104.95525,99.43004511996446,5.525204880035545
2020-11-01,105.40938,99.43961328464783,5.969766715352165
2020-12-01,104.87723,99.45232792795312,5.424902072046876
2021-01-01,105.64286,99.46801468555384,6.174845314446159
2021-02-01,104.09701,99.48654105193577,4.610468948064224
2021-03-01,101.88765,99.5078221669961,2.379827833003887
2021-04-01,100.04501,99.53180874523807,0.5132012547619382
2021-05-01,101.15198,99.55846986403402,1.5935101359659711
2021-06-01,100.7712,99.58777856064252,1.183421439357474
2021-07-01,99.50757,99.61972016792501,-0.11215016792500876
2021-08-01,99.40369,99.65428915008128,-0.2505991500812854
2021-09-01,99.09509,99.69147910595487,-0.59638910595487
2021-10-01,98.64755,99.7312817007539,-1.0837317007539014
2021-11-01,98.63374,99.77368399791861,-1.139943997918607
2021-12-01,100.14413,99.81866469876198,0.325465301238026
2022-01-01,100.03623,99.86619370873278,0.1700362912672233
2022-02-01,100.92825,99.91624344458612,1.0120065554138904
2022-03-01,100.08235,99.96878763508552,0.11356236491448612
2022-04-01,100.71121,100.02380781768704,0.687402182312951
2022-05-01,100.23226,100.08128640609961,0.1509735939003889
2022-06-01,100.15027,100.14121111806132,0.009058881938685204
2022-07-01,101.35573,100.20357083623,1.1521591637699942
2022-08-01,99.72973,100.26835451316224,-0.5386245131622331
2022-09-01,98.24448,100.33555999153162,-2.091079991531629
2022-10-01,99.72482,100.4051809579584,-0.6803609579583991
2022-11-01,99.73786,100.47719496418631,-0.7393349641863125
2022-12-01,99.74337,100.55157431226039,-0.8082043122603864
2023-01-01,99.7351,100.62828559948056,-0.8931855994805602
2023-02-01,99.58703,100.70728918700246,-1.1202591870024605
2023-03-01,100.36835,100.78853854411751,-0.42018854411750794
2023-04-01,99.91382,100.87197849614195,-0.958158496141948
2023-05-01,100.54093,100.95755062619644,-0.41662062619643336
2023-06-01,100.12474,101.04518912420333,-0.9204491242033299
2023-07-01,99.63149,101.13482496541967,-1.5033349654196684
2023-08-01,100.06384,101.22638202287159,-1.162542022871591
2023-09-01,99.67767,101.31977256977835,-1.642102569778345
2023-10-01,100.08442,101.41489990912757,-1.3304799091275754
2023-11-01,101.19292,101.51165467336239,-0.3187346733623855
2023-12-01,102.76932,101.6099172288773,1.1594027711227
2024-01-01,101.54737,101.70956548269429,-0.16219548269428685
2024-02-01,101.79152,101.81048628784447,-0.018966287844463636
2024-03-01,102.30588,101.91256524585056,0.3933147541494435
2024-04-01,101.87893,102.01568781189042,-0.13675781189041913
2024-05-01,100.62966,102.11974247597806,-1.4900824759780562
2024-06-01,105.10973,102.22461667289747,2.8851133271025304
2024-07-01,103.61717,102.33018633988269,1.2869836601173148
2024-08-01,103.31276,102.43634967584464,0.8764103241553585
2024-09-01,104.35891,102.54301481012372,1.8158951898762723
2024-10-01,104.34248,102.65009663448566,1.6923833655143312
2024-11-01,103.59923,102.7575240522332,0.8417059477668118
2024-12-01,103.19153,102.86523902518258,0.3262909748174252
2025-01-01,103.34464,102.97319000979479,0.37144999020520686
2025-02-01,103.32447,103.08132798020809,0.24314201979191807
2025-03-01,105.21411,103.18960677668721,2.0245032233127915
2025-04-01,104.42238,103.29798211559272,1.124397884407287
2025-05-01,103.88718,103.40642533445205,0.48075466554794843
2025-06-01,103.95187,103.51491644670219,0.43695355329781194
2025-07-01,103.81734,103.62343917530679,0.19390082469321612
2025-08-01,104.57424,103.73198061478472,0.8422593852152858
2025-09-01,104.16703,103.8405293558032,0.32650064419679836
2025-10-01,104.25897,103.94908048794447,0.30988951205553406
