Date,focus_expected_inflation,Infl. 12 m suav.,Infl. meses 13-24,Infl. meses 13-24 suav.,bcb_expected_inflation,selic_target,exchange_rate,exchange_rate_var,output,output_potential,output_gap,inflation_target,interval_size,upper_limit,lower_limit,inflation_12m,ano,mes,inflation_target_next,bcb_inflation_deviation,focus_inflation_deviation
2010-06,4.89,4.71,,,4.8,10.25,1.8065285714285715,-0.36741339916483984,119.35572,116.58934262016457,2.7663773798354327,4.5,,,,4.84,2010,6,4.5,0.2999999999999998,0.3899999999999997
2010-07,4.8,4.92,,,4.766666666666667,10.75,1.7696363636363637,-2.0421602168757325,118.61041,116.69088995561046,1.919520044389543,4.5,,,,4.6,2010,7,4.5,0.2666666666666666,0.2999999999999998
2010-08,4.9,5.02,,,4.733333333333333,10.75,1.7595636363636364,-0.569197575259428,118.33945,116.78592221527452,1.5535277847254747,4.5,,,,4.49,2010,8,4.5,0.2333333333333334,0.40000000000000036
2010-10,5.29,5.18,,,4.8,10.75,1.6835,-2.048602356696194,118.21014,116.95541195214115,1.2547280478588476,4.5,,,,5.2,2010,10,4.5,0.2999999999999998,0.79
2010-12,5.73,5.36,,,5.0,10.75,1.693413043478261,-1.1624705410947511,119.6354,117.09587442401182,2.539525575988179,4.5,,,,5.91,2010,12,4.5,0.5,1.2300000000000004
2011-01,5.5,5.47,,,4.933333333333334,11.25,1.6749142857142858,-1.0923949024261081,119.96544,117.15466778792062,2.810772212079385,4.5,2.0,6.5,2.5,5.99,2011,1,4.5,0.43333333333333357,1.0
2011-03,5.55,5.35,,,4.8,11.75,1.6590999999999998,-0.532976816407793,121.82258,117.24842646953975,4.574153530460251,4.5,,,,6.3,2011,3,4.5,0.2999999999999998,1.0499999999999998
2011-04,5.6,5.42,,,4.733333333333333,12.0,1.5864473684210525,-4.379038730573647,118.70308,117.28308614541127,1.419993854588725,4.5,,,,6.51,2011,4,4.5,0.2333333333333334,1.0999999999999996
2011-06,5.03,5.04,,,4.6,12.25,1.5870428571428572,-1.6391819624787085,120.08909,117.32743604721645,2.761653952783547,4.5,,,,6.71,2011,6,4.5,0.09999999999999964,0.5300000000000002
2011-07,5.34,5.4,,,4.633333333333333,12.5,1.5639380952380952,-1.4558373014801451,119.86147,117.33698457141267,2.524485428587326,4.5,,,,6.87,2011,7,4.5,0.13333333333333286,0.8399999999999999
2011-08,5.44,5.47,,,4.666666666666667,12.5,1.597008695652174,2.114572214512367,118.92657,117.3380681175321,1.5885018824678951,4.5,,,,7.23,2011,8,4.5,0.16666666666666696,0.9400000000000004
2011-10,5.66,5.64,,,4.7,11.5,1.77257,1.3026700013335057,115.76273,117.3148096769573,-1.552079676957291,4.5,,,,6.97,2011,10,4.5,0.20000000000000018,1.1600000000000001
2011-11,5.6,5.58,,,4.7,11.5,1.7904900000000001,1.0109614853010207,116.3019,117.2904685884779,-0.9885685884779036,4.5,,,,6.64,2011,11,4.5,0.20000000000000018,1.0999999999999994
2012-01,5.3,5.34,,,4.766666666666667,10.5,1.7896818181818182,-2.5698130482659565,114.32268,117.21630391930464,-2.8936239193046305,4.5,2.0,6.5,2.5,6.22,2012,1,4.5,0.2666666666666666,0.7999999999999998
2012-03,5.28,5.34,,,4.9,9.75,1.795309090909091,4.475942134711786,114.68203,117.10807057781808,-2.4260405778180854,4.5,,,,5.24,2012,3,4.5,0.40000000000000036,0.7800000000000002
2012-04,5.48,5.45,,,4.933333333333334,9.0,1.854835,3.315635697069119,114.60726,117.04110565027331,-2.4338456502733123,4.5,,,,5.1,2012,4,4.5,0.43333333333333357,0.9800000000000003
2012-05,5.54,5.5,,,4.966666666666667,8.5,1.9859909090909091,7.071028371305754,115.20503,116.96550116302399,-1.7604711630239933,4.5,,,,4.99,2012,5,4.5,0.4666666666666668,1.04
2012-07,5.53,5.54,,,4.866666666666666,8.0,2.0287363636363636,-0.9983743061854344,117.01116,116.78804392187678,0.2231160781232262,4.5,,,,5.2,2012,7,4.5,0.36666666666666625,1.0300000000000002
2012-08,5.68,5.63,,,4.733333333333333,7.5,2.0294434782608697,0.03485492926438294,119.55515,116.68599487216783,2.8691551278321725,4.5,,,,5.24,2012,8,4.5,0.2333333333333334,1.1799999999999997
2012-10,5.5,5.5,,,4.666666666666666,7.25,2.0298454545454545,0.08710248579451019,118.89747,116.4547663842429,2.4427036157570967,4.5,,,,5.45,2012,10,4.5,0.16666666666666607,1.0
2012-11,5.33,5.37,,,4.733333333333333,7.25,2.06775,1.867361151543112,117.37178,116.32543178312723,1.0463482168727722,4.5,,,,5.53,2012,11,4.5,0.2333333333333334,0.8300000000000001
2013-01,5.58,5.55,,,5.0,7.25,2.031077272727273,-2.2503099270503646,119.18357,116.03902877234326,3.1445412276567453,4.5,2.0,6.5,2.5,6.15,2013,1,4.5,0.5,1.08
2013-03,5.43,5.62,,,5.4,7.25,1.98284,0.48600025338907393,118.08827,115.71540640789185,2.3728635921081462,4.5,,,,6.59,2013,3,4.5,0.9000000000000004,0.9299999999999997
2013-04,5.44,5.45,,,5.4,7.5,2.0022136363636363,0.9770650361923483,120.03126,115.53960358167117,4.49165641832883,4.5,,,,6.49,2013,4,4.5,0.9000000000000004,0.9400000000000004
